afghanistan,afghanistan
åland islands,åland islands
albania,albania
algeria,algeria
american samoa,american samoa
andorra,andorra
angola,angola
anguilla,anguilla
antarctica,antarctica
antigua and barbuda,antigua and barbuda
argentina,argentina
armenia,armenia
aruba,aruba
australia,australia
austria,austria
azerbaijan,azerbaijan
bahamas,bahamas
bahrain,bahrain
bangladesh,bangladesh
barbados,barbados
belarus,belarus
belgium,belgium
belize,belize
benin,benin
bermuda,bermuda
bhutan,bhutan
bolivia (plurinational state of),bolivia (plurinational state of)
"bonaire, sint eustatius and saba","bonaire, sint eustatius and saba"
bosnia and herzegovina,bosnia and herzegovina
botswana,botswana
bouvet island,bouvet island
brazil,brazil
british indian ocean territory,british indian ocean territory
united states minor outlying islands,united states minor outlying islands
virgin islands (british),virgin islands (british)
virgin islands (u.s.),virgin islands (u.s.)
brunei darussalam,brunei darussalam
bulgaria,bulgaria
burkina faso,burkina faso
burundi,burundi
cambodia,cambodia
cameroon,cameroon
canada,canada
caboverde,cabo verde
cayman islands,cayman islands
central african republic,central african republic
chad,chad
chile,chile
china,china
christmas island,christmas island
cocos (keeling) islands,cocos (keeling) islands
colombia,colombia
comoros,comoros
congo,congo
congo (democratic republic of the),congo (democratic republic of the)
cook islands,cook islands
costa rica,costa rica
croatia,croatia
cuba,cuba
curaçao,curaçao
cyprus,cyprus
czech republic,czech republic
denmark,denmark
djibouti,djibouti
dominica,dominica
dominican republic,dominican republic
ecuador,ecuador
egypt,egypt
el salvador,el salvador
equatorial guinea,equatorial guinea
eritrea,eritrea
estonia,estonia
ethiopia,ethiopia
falkland islands (malvinas),falkland islands (malvinas)
faroe islands,faroe islands
fiji,fiji
finland,finland
france,france
french guiana,french guiana
french polynesia,french polynesia
french southern territories,french southern territories
gabon,gabon
gambia,gambia
georgia,georgia
germany,germany
ghana,ghana
gibraltar,gibraltar
greece,greece
greenland,greenland
grenada,grenada
guadeloupe,guadeloupe
guam,guam
guatemala,guatemala
guernsey,guernsey
guinea,guinea
guinea-bissau,guinea-bissau
guyana,guyana
haiti,haiti
heard island and mcdonald islands,heard island and mcdonald islands
holy see,holy see
honduras,honduras
hong kong,hong kong
hungary,hungary
iceland,iceland
india,india
indonesia,indonesia
côte d'ivoire,côte d'ivoire
iran (islamic republic of),iran (islamic republic of)
iraq,iraq
ireland,ireland
isle of man,isle of man
israel,israel
italy,italy
jamaica,jamaica
japan,japan
jersey,jersey
jordan,jordan
kazakhstan,kazakhstan
kenya,kenya
kiribati,kiribati
kuwait,kuwait
kyrgyzstan,kyrgyzstan
lao people's democratic republic,lao people's democratic republic
latvia,latvia
lebanon,lebanon
lesotho,lesotho
liberia,liberia
libya,libya
liechtenstein,liechtenstein
lithuania,lithuania
luxembourg,luxembourg
macao,macao
macedonia (the former yugoslav republic of),macedonia (the former yugoslav republic of)
madagascar,madagascar
malawi,malawi
malaysia,malaysia
maldives,maldives
mali,mali
malta,malta
marshall islands,marshall islands
martinique,martinique
mauritania,mauritania
mauritius,mauritius
mayotte,mayotte
mexico,mexico
micronesia (federated states of),micronesia (federated states of)
moldova (republic of),moldova (republic of)
monaco,monaco
mongolia,mongolia
montenegro,montenegro
montserrat,montserrat
morocco,morocco
mozambique,mozambique
myanmar,myanmar
namibia,namibia
nauru,nauru
nepal,nepal
netherlands,netherlands
new caledonia,new caledonia
new zealand,new zealand
nicaragua,nicaragua
niger,niger
nigeria,nigeria
niue,niue
norfolk island,norfolk island
korea (democratic people's republic of),korea (democratic people's republic of)
northern mariana islands,northern mariana islands
norway,norway
oman,oman
pakistan,pakistan
palau,palau
"palestine, state of","palestine, state of"
panama,panama
papua new guinea,papua new guinea
paraguay,paraguay
peru,peru
philippines,philippines
pitcairn,pitcairn
poland,poland
portugal,portugal
puerto rico,puerto rico
qatar,qatar
republic of kosovo,republic of kosovo
réunion,réunion
romania,romania
russian federation,russian federation
rwanda,rwanda
saint barthélemy,saint barthélemy
saint helena, ascension and tristan da cunha,saint helena, ascension and tristan da cunha
saint kitts and nevis,saint kitts and nevis
saint lucia,saint lucia
saint martin (french part),saint martin (french part)
saint pierre and miquelon,saint pierre and miquelon
saint vincent and the grenadines,saint vincent and the grenadines
samoa,samoa
san marino,san marino
sao tome and principe,sao tome and principe
saudi arabia,saudi arabia
senegal,senegal
serbia,serbia
seychelles,seychelles
sierra leone,sierra leone
singapore,singapore
sint maarten (dutch part),sint maarten (dutch part)
slovakia,slovakia
slovenia,slovenia
solomon islands,solomon islands
somalia,somalia
south africa,south africa
south georgia and the south sandwich islands,south georgia and the south sandwich islands
korea (republic of),korea (republic of)
south sudan,south sudan
spain,spain
sri lanka,sri lanka
sudan,sudan
suriname,suriname
svalbard and jan mayen,svalbard and jan mayen
swaziland,swaziland
sweden,sweden
switzerland,switzerland
syrian arab republic,syrian arab republic
taiwan,taiwan
tajikistan,tajikistan
"tanzania, united republic of","tanzania, united republic of"
thailand,thailand
timor-leste,timor-leste
togo,togo
tokelau,tokelau
tonga,tonga
trinidad and tobago,trinidad and tobago
tunisia,tunisia
turkey,turkey
turkmenistan,turkmenistan
turks and caicos islands,turks and caicos islands
tuvalu,tuvalu
uganda,uganda
ukraine,ukraine
united arab emirates,united arab emirates
united kingdom of great britain and northern ireland,united kingdom of great britain and northern ireland
united states of america,united states of america
uruguay,uruguay
uzbekistan,uzbekistan
vanuatu,vanuatu
venezuela (bolivarian republic of),venezuela (bolivarian republic of)
viet nam,viet nam
wallis and futuna,wallis and futuna
western sahara,western sahara
yemen,yemen
zambia,zambia
zimbabwe,zimbabwe
